Archivo: Euclid/2111EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 94611.0, Gap: 0.00%, Solve time: 0.32 seconds
Archivo: Euclid/211EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98091.0, Gap: 0.00%, Solve time: 1.61 seconds
Archivo: Euclid/211EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98091.0, Gap: 0.00%, Solve time: 1.63 seconds
Archivo: Euclid/211EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98091.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/2211EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98238.0, Gap: 0.00%, Solve time: 1.60 seconds
Archivo: Euclid/2211EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98238.00000000001, Gap: 0.00%, Solve time: 1.66 seconds
Archivo: Euclid/2211EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98238.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/2311EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 97418.99999999999, Gap: 0.00%, Solve time: 1.58 seconds
Archivo: Euclid/2311EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 97419.0, Gap: 0.00%, Solve time: 1.67 seconds
Archivo: Euclid/2311EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 97419.0, Gap: 0.00%, Solve time: 0.29 seconds
Archivo: Euclid/2411EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 96715.0, Gap: 0.00%, Solve time: 1.60 seconds
Archivo: Euclid/2411EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 96714.99999999999, Gap: 0.00%, Solve time: 1.65 seconds
Archivo: Euclid/2411EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 96715.0, Gap: 0.00%, Solve time: 0.31 seconds
Archivo: Euclid/2511EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 99195.0, Gap: 0.00%, Solve time: 1.60 seconds
Archivo: Euclid/2511EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 99194.99999999999, Gap: 0.00%, Solve time: 1.64 seconds
Archivo: Euclid/2511EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 99195.0, Gap: 0.00%, Solve time: 0.31 seconds
Archivo: Euclid/2611EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 96088.0, Gap: 0.00%, Solve time: 1.63 seconds
Archivo: Euclid/2611EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 96088.0, Gap: 0.00%, Solve time: 1.63 seconds
Archivo: Euclid/2611EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 96088.0, Gap: 0.00%, Solve time: 0.29 seconds
Archivo: Euclid/2711EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 93844.99999999999, Gap: 0.00%, Solve time: 1.65 seconds
Archivo: Euclid/2711EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 93844.99999999999, Gap: 0.00%, Solve time: 1.66 seconds
Archivo: Euclid/2711EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 93845.0, Gap: 0.00%, Solve time: 0.28 seconds
Archivo: Euclid/2811EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 100651.0, Gap: 0.00%, Solve time: 1.59 seconds
Archivo: Euclid/2811EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 100651.0, Gap: 0.00%, Solve time: 1.72 seconds
Archivo: Euclid/2811EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 100651.0, Gap: 0.00%, Solve time: 0.28 seconds
Archivo: Euclid/2911EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98699.0, Gap: 0.00%, Solve time: 1.62 seconds
Archivo: Euclid/2911EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98699.0, Gap: 0.00%, Solve time: 1.66 seconds
Archivo: Euclid/2911EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98699.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/3011EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98845.99999999999, Gap: 0.00%, Solve time: 1.59 seconds
Archivo: Euclid/3011EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98846.00000000001, Gap: 0.00%, Solve time: 1.72 seconds
Archivo: Euclid/3011EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98846.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/311EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 96212.0, Gap: 0.00%, Solve time: 1.59 seconds
Archivo: Euclid/311EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 96211.99999999999, Gap: 0.00%, Solve time: 1.65 seconds
Archivo: Euclid/311EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 96212.0, Gap: 0.00%, Solve time: 0.29 seconds
Archivo: Euclid/411EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 102157.0, Gap: 0.00%, Solve time: 1.68 seconds
Archivo: Euclid/411EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 102157.0, Gap: 0.00%, Solve time: 1.68 seconds
Archivo: Euclid/411EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 102157.0, Gap: 0.00%, Solve time: 0.66 seconds
Archivo: Euclid/511EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98527.0, Gap: 0.00%, Solve time: 1.58 seconds
Archivo: Euclid/511EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98527.0, Gap: 0.00%, Solve time: 1.63 seconds
Archivo: Euclid/511EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98527.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/611EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 98373.99999999999, Gap: 0.00%, Solve time: 1.59 seconds
Archivo: Euclid/611EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 98374.0, Gap: 0.00%, Solve time: 1.65 seconds
Archivo: Euclid/611EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 98374.0, Gap: 0.00%, Solve time: 0.30 seconds
Archivo: Euclid/711EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 99331.0, Gap: 0.00%, Solve time: 1.59 seconds
Archivo: Euclid/711EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 99331.0, Gap: 0.00%, Solve time: 1.62 seconds
Archivo: Euclid/711EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 99331.0, Gap: 0.00%, Solve time: 0.29 seconds
Archivo: Euclid/811EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 100277.00000000001, Gap: 0.00%, Solve time: 1.58 seconds
Archivo: Euclid/811EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 100276.99999999999, Gap: 0.00%, Solve time: 1.70 seconds
Archivo: Euclid/811EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 100277.0, Gap: 0.00%, Solve time: 0.29 seconds
Archivo: Euclid/911EuclS.txt, Solver: cuOpt_API, Status: Optimal, Objective value: 100335.0, Gap: 0.00%, Solve time: 1.58 seconds
Archivo: Euclid/911EuclS.txt, Solver: CUOPT, Status: 1, Objective value: 100335.0, Gap: 0.00%, Solve time: 1.71 seconds
Archivo: Euclid/911EuclS.txt, Solver: PULP_CBC_CMD, Status: 1, Objective value: 100335.0, Gap: 0.00%, Solve time: 0.30 seconds
