node_id,tipo,nombre,direccion,lat,lon
61,ESTACION,67 - CaixaForum Madrid,"Calle de Almadén, 38,",40.4108472,-3.693225
62,ESTACION,68 - Espalter - Ruiz de Alarcón,"Calle Espalter nº 3,",40.4127692,-3.6913232
63,ESTACION,69 - Parque del Retiro - Puerta Ángel Caído,"Avenida de Alfonso XII nº 54,",40.409808,-3.688822
64,ESTACION,70 - Hospital Uni. Infantil Niño Jesús,"Avenida de Menéndez Pelayo nº 63,",40.41538239,-3.677872542
65,ESTACION,71 - Plaza del Doctor Laguna,"Calle Doce de Octubre nº 28,",40.4161,-3.6739
66,ESTACION,72 - Metro Sáinz de Baranda,"Calle Doctor Esquerdo nº 99,",40.41591276,-3.66921108
67,ESTACION,73 - Plaza de los Astros,"Calle de los Astros, nº5 ,",40.4115,-3.6687
68,ESTACION,74 - Parque Retiro - Jardines Cecilio Rguez,"Avenida de Menéndez Pelayo nº 69,",40.41206291,-3.676588764
69,ESTACION,75 - Parque del Retiro - Plaza Mariano Cavia,"Avenida Menéndez pelayo (esquina con calle Poeta Esteban Villegas),",40.4082717,-3.6784749
70,ESTACION,"76 - Avenida del Mediterráneo, 19","Avenida del Mediterráneo nº 19,",40.407271,-3.675102
71,ESTACION,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",40.4064784,-3.6707132
72,ESTACION,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",40.40063747,-3.67452406
73,ESTACION,79 - Metro Menéndez Pelayo,"Avenida de Menéndez Pelayo nº 38,",40.40511019,-3.680439824
74,ESTACION,81 - Cuesta de Moyano,"Calle Claudio Moyano, nº5 ,",40.40934261,-3.69183322
75,ESTACION,82 - Doctor Esquerdo - Metro Conde de Casal,"Calle Lira, nº1 ,",40.4084556,-3.6697526
76,ESTACION,83 - Pío Baroja,"Calle Pío Baroja nº8,",40.4132995,-3.6744795
77,ESTACION,84 - Biblioteca Pública Elena Fortún,"Calle Doctor Esquerdo nº 191,",40.40357157,-3.672481575
78,ESTACION,85 - Parque del Retiro - Puerta de O´Donnell,"Avenida de Menéndez Pelayo, 9,",40.4213143,-3.679891
79,ESTACION,86 - Cibeles,"Paseo del Prado, 1B ,",40.4186516,-3.6933498
80,ESTACION,87 - Ayala - Velázquez,"Calle Ayala nº 46,",40.427736,-3.6832566
